"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"e:\Dev\go_great\assets\people_company.svg", "XML", 0, 0, 8, 0, 1, 9
"e:\Dev\go_great\lib\constant.dart", "Dart", 0, 36, 0, 0, 7, 43
"e:\Dev\go_great\lib\main.dart", "Dart", 0, 40, 0, 1, -1, 40
"e:\Dev\go_great\lib\project_detail.dart", "Dart", 0, 96, 0, 0, 5, 101
"e:\Dev\go_great\pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 2
"Total", "-", 2, 172, 8, 1, 12, 195
