"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "XML", "Swift", "Markdown", "Dart", "Gradle", "Java Properties", "Kotlin", "comment", "blank", "total"
"e:\Dev\go_great\devtools_options.yaml", "YAML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\go_great\flutter_native_splash.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Dev\go_great\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Dev\go_great\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Dev\go_great\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Dev\go_great\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"e:\Dev\go_great\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 1, 45
"e:\Dev\go_great\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\Dev\go_great\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Dev\go_great\ios\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Dev\go_great\lib\add_project.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 311, 0, 0, 0, 1, 15, 327
"e:\Dev\go_great\lib\bio_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 16, 127
"e:\Dev\go_great\lib\chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"e:\Dev\go_great\lib\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"e:\Dev\go_great\lib\course_details.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 16, 189
"e:\Dev\go_great\lib\education_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 3, 22, 397
"e:\Dev\go_great\lib\experience_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 1, 17, 314
"e:\Dev\go_great\lib\final_add_project.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 3, 112
"e:\Dev\go_great\lib\final_apply.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 4, 193
"e:\Dev\go_great\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 12, 6, 82
"e:\Dev\go_great\lib\language_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 5, 19, 258
"e:\Dev\go_great\lib\lesson_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 8, 173
"e:\Dev\go_great\lib\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 1, 8, 164
"e:\Dev\go_great\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 790, 0, 0, 0, 23, 54, 867
"e:\Dev\go_great\lib\my_flutter_app_icons.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 15, 4, 28
"e:\Dev\go_great\lib\my_projects.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 195, 0, 0, 0, 2, 19, 216
"e:\Dev\go_great\lib\onboarding_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 14, 168
"e:\Dev\go_great\lib\profile_currentUser.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1127, 0, 0, 0, 11, 73, 1211
"e:\Dev\go_great\lib\profile_edit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 20, 328
"e:\Dev\go_great\lib\profile_form.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 366, 0, 0, 0, 2, 20, 388
"e:\Dev\go_great\lib\profile_otheruser.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 916, 0, 0, 0, 4, 50, 970
"e:\Dev\go_great\lib\project_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 6, 8, 328
"e:\Dev\go_great\lib\project_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 1, 7, 118
"e:\Dev\go_great\lib\saved_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 26, 204
"e:\Dev\go_great\lib\sign_up.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 7, 17, 285
"e:\Dev\go_great\lib\soon.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"e:\Dev\go_great\lib\submission.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 682, 0, 0, 0, 3, 37, 722
"e:\Dev\go_great\lib\submit_temp.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 4, 8, 70
"e:\Dev\go_great\lib\talent_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 10, 174
"e:\Dev\go_great\lib\user_preferences0.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 2, 15, 223
"e:\Dev\go_great\lib\user_preferences1.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 2, 21, 229
"e:\Dev\go_great\lib\user_preferences2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 4, 15, 228
"e:\Dev\go_great\lib\user_preferences3.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 4, 10, 136
"e:\Dev\go_great\linux\CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"e:\Dev\go_great\linux\flutter\CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"e:\Dev\go_great\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Dev\go_great\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\Dev\go_great\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Dev\go_great\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Dev\go_great\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 4, 35
"e:\Dev\go_great\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Dev\go_great\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Dev\go_great\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Dev\go_great\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"e:\Dev\go_great\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
