"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"e:\Dev\go_great\lib\user_preferences2.dart", "Dart", 0, 0, 0, 1, 1
"e:\Dev\go_great\pubspec.yaml", "YAML", 4, 0, 0, 1, 5
"Total", "-", 4, 0, 0, 2, 6
